id,Name,MedianIncomeDollars
0500000US05051,"Garland County, Arkansas",43146
0500000US05053,"Grant County, Arkansas",51920
0500000US05055,"Greene County, Arkansas",47497
0500000US05057,"Hempstead County, Arkansas",41355
0500000US05059,"Hot Spring County, Arkansas",41262
0500000US05061,"Howard County, Arkansas",35900
0500000US05063,"Independence County, Arkansas",43523
0500000US05065,"Izard County, Arkansas",40218
0500000US05067,"Jackson County, Arkansas",33174
0500000US05069,"Jefferson County, Arkansas",38289
0500000US05071,"Johnson County, Arkansas",37170
0500000US05073,"Lafayette County, Arkansas",32412
0500000US05075,"Lawrence County, Arkansas",38528
0500000US05077,"Lee County, Arkansas",28367
0500000US05079,"Lincoln County, Arkansas",45166
0500000US05081,"Little River County, Arkansas",45388
0500000US05083,"Logan County, Arkansas",39748
0500000US05085,"Lonoke County, Arkansas",57509
0500000US05087,"Madison County, Arkansas",43891
0500000US05089,"Marion County, Arkansas",35518
0500000US05091,"Miller County, Arkansas",41903
0500000US05093,"Mississippi County, Arkansas",37237
0500000US05095,"Monroe County, Arkansas",35190
0500000US05097,"Montgomery County, Arkansas",37855
0500000US05099,"Nevada County, Arkansas",37635
0500000US05101,"Newton County, Arkansas",39896
0500000US05103,"Ouachita County, Arkansas",34887
0500000US05105,"Perry County, Arkansas",46071
0500000US05107,"Phillips County, Arkansas",29263
0500000US05109,"Pike County, Arkansas",37406
0500000US05111,"Poinsett County, Arkansas",39277
0500000US05113,"Polk County, Arkansas",37035
0500000US05115,"Pope County, Arkansas",41914
0500000US05117,"Prairie County, Arkansas",41846
0500000US05119,"Pulaski County, Arkansas",50093
0500000US05121,"Randolph County, Arkansas",36870
0500000US05123,"St. Francis County, Arkansas",35356
0500000US05125,"Saline County, Arkansas",62152
0500000US05127,"Scott County, Arkansas",35509
0500000US05129,"Searcy County, Arkansas",36390
0500000US05131,"Sebastian County, Arkansas",43240
0500000US05133,"Sevier County, Arkansas",46667
0500000US05135,"Sharp County, Arkansas",33708
0500000US05137,"Stone County, Arkansas",36162
0500000US05139,"Union County, Arkansas",44000
0500000US05141,"Van Buren County, Arkansas",36897
0500000US05143,"Washington County, Arkansas",49629
0500000US05145,"White County, Arkansas",43822
0500000US05147,"Woodruff County, Arkansas",31023
0500000US05149,"Yell County, Arkansas",42361
0500000US06001,"Alameda County, California",92574
0500000US06003,"Alpine County, California",64688
0500000US06005,"Amador County, California",61198
0500000US06007,"Butte County, California",48443
0500000US06009,"Calaveras County, California",58151
0500000US06011,"Colusa County, California",56704
0500000US06013,"Contra Costa County, California",93712
0500000US06015,"Del Norte County, California",45258
0500000US06017,"El Dorado County, California",80582
0500000US06019,"Fresno County, California",51261
0500000US06021,"Glenn County, California",47395
0500000US06023,"Humboldt County, California",45528
0500000US06025,"Imperial County, California",45834
0500000US06027,"Inyo County, California",52874
0500000US06029,"Kern County, California",52479
0500000US06031,"Kings County, California",53865
0500000US06033,"Lake County, California",42475
0500000US06035,"Lassen County, California",56362
0500000US06037,"Los Angeles County, California",64251
0500000US06039,"Madera County, California",52884
0500000US06041,"Marin County, California",110217
0500000US06043,"Mariposa County, California",51199
0500000US06045,"Mendocino County, California",49233
0500000US06047,"Merced County, California",50129
0500000US06049,"Modoc County, California",45149
0500000US06051,"Mono County, California",63018
0500000US06053,"Monterey County, California",66676
0500000US06055,"Napa County, California",84753
0500000US06057,"Nevada County, California",63240
0500000US06059,"Orange County, California",85398
0500000US06061,"Placer County, California",84357
0500000US06063,"Plumas County, California",53270
0500000US06065,"Riverside County, California",63948
0500000US06067,"Sacramento County, California",63902
0500000US06069,"San Benito County, California",81977
0500000US06071,"San Bernardino County, California",60164
0500000US06073,"San Diego County, California",74855
0500000US06075,"San Francisco County, California",104552
0500000US06077,"San Joaquin County, California",61145
0500000US06079,"San Luis Obispo County, California",70699
0500000US06081,"San Mateo County, California",113776
0500000US06083,"Santa Barbara County, California",71657
0500000US06085,"Santa Clara County, California",116178
0500000US06087,"Santa Cruz County, California",78041
0500000US06089,"Shasta County, California",50905
0500000US06091,"Sierra County, California",48125
0500000US06093,"Siskiyou County, California",44200
0500000US06095,"Solano County, California",77609
0500000US06097,"Sonoma County, California",76753
0500000US06099,"Stanislaus County, California",57387
0500000US06101,"Sutter County, California",56955
0500000US06103,"Tehama County, California",42899
0500000US06105,"Trinity County, California",38497
0500000US06107,"Tulare County, California",47518
0500000US06109,"Tuolumne County, California",56493
0500000US06111,"Ventura County, California",84017
0500000US06113,"Yolo County, California",65923
0500000US06115,"Yuba County, California",52624
0500000US08001,"Adams County, Colorado",67575
0500000US08003,"Alamosa County, Colorado",39191
0500000US08005,"Arapahoe County, Colorado",73925
0500000US08007,"Archuleta County, Colorado",50753
0500000US08009,"Baca County, Colorado",37500
0500000US08011,"Bent County, Colorado",34392
0500000US08013,"Boulder County, Colorado",78642
0500000US08014,"Broomfield County, Colorado",89624
0500000US08015,"Chaffee County, Colorado",54580
0500000US08017,"Cheyenne County, Colorado",55227
0500000US08019,"Clear Creek County, Colorado",69936
0500000US08021,"Conejos County, Colorado",34746
0500000US08023,"Costilla County, Colorado",30593
0500000US08025,"Crowley County, Colorado",37586
0500000US08027,"Custer County, Colorado",44644
0500000US08029,"Delta County, Colorado",44512
0500000US08031,"Denver County, Colorado",63793
0500000US08033,"Dolores County, Colorado",41714
0500000US08035,"Douglas County, Colorado",115314
0500000US08037,"Eagle County, Colorado",84685
0500000US08039,"Elbert County, Colorado",96658
0500000US08041,"El Paso County, Colorado",65334
0500000US08043,"Fremont County, Colorado",46296
0500000US08045,"Garfield County, Colorado",72898
0500000US08047,"Gilpin County, Colorado",75120
0500000US08049,"Grand County, Colorado",70469
0500000US08051,"Gunnison County, Colorado",54979
0500000US08053,"Hinsdale County, Colorado",52188
0500000US08055,"Huerfano County, Colorado",36705
0500000US08057,"Jackson County, Colorado",48828
0500000US08059,"Jefferson County, Colorado",78943
0500000US08061,"Kiowa County, Colorado",39784
0500000US08063,"Kit Carson County, Colorado",51046
0500000US08065,"Lake County, Colorado",46918
0500000US08067,"La Plata County, Colorado",64372
0500000US08069,"Larimer County, Colorado",67664
0500000US08071,"Las Animas County, Colorado",41945
0500000US08073,"Lincoln County, Colorado",49423
0500000US08075,"Logan County, Colorado",48922
0500000US08077,"Mesa County, Colorado",53683
